record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
229,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0447,-,OxA-33428,Human,Human bone colagen,896,28,-,Santana-Sagredo et al. 2017,,X,,,900,680,760,Lowlands
230,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0447,A03839,OxA-33508,Textile,Textile,900,40,-,Santana-Sagredo et al. 2017,,X,,,900,680,760,Lowlands
231,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0451,-,V-2648-36,Human,Human bone colagen,948,25,-,Santana-Sagredo et al. 2017,,X,,,910,740,810,Lowlands
232,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0451,A03841,OxA-32972,Textile,Textile,1222,31,-,Santana-Sagredo et al. 2017,,X,,,1180,980,1090,Lowlands
233,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0455,-,V-2645-55,Human,Human bone colagen,849,24,-,Santana-Sagredo et al. 2017,,X,,,770,670,710,Lowlands
234,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0455*,-,OxA-32883,Textile,Textile,831,25,-,Santana-Sagredo et al. 2017,,X,,,740,670,700,Lowlands
235,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0460,A03829,OxA-32819,Textile,Textile,910,32,-,Santana-Sagredo et al. 2017,,X,,,900,680,770,Lowlands
236,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0460,-,OxA-32728,Human,Human hair,935,24,-,Santana-Sagredo et al. 2017,,X,,,900,730,790,Lowlands
237,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0483,-,V-2645-56,Human,Human bone colagen,1293,25,-,Santana-Sagredo et al. 2017,,X,,,1270,1080,1180,Lowlands
238,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0492,A03830,OxA-32882,Textile,Textile,954,26,-,Santana-Sagredo et al. 2017,,X,,,920,740,830,Lowlands
239,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,B0492,-,OxA-33429,Human,Human bone colagen,980,28,-,Santana-Sagredo et al. 2017,,X,,,920,770,850,Lowlands
240,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-11,-,Beta-220922,Human,Human bone colagen,1050,40,-,Uribe et al. 2007 ,,X,,,980,800,910,Lowlands
241,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-3,-,OxA 39875,Vegetal,Maize grains,731,17,-,Santana et al. 2021,,X,,,670,570,640,Lowlands
242,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-3,S/I_B0447,Beta-220923,Human,Human bone colagen,900,40,-,Uribe et al. 2007 ,,X,,,900,680,760,Lowlands
243,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-32,S/I,Beta-220924,Human,Human bone colagen,810,40,-,Uribe et al. 2007 ,,X,,,770,580,700,Lowlands
244,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-6,S/A,IVIC-172,Vegetal,Maize ,310,110,-,Núñez 1976,,X,,,500,...,310,Lowlands
245,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-6,S/A,IVIC-173,Textile,Textile,930,90,-,Núñez 1976,,X,,,960,670,810,Lowlands
246,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-62,-,OxA 39874,Vegetal,Maize grains,903,17,-,Santana et al. 2021,,X,,,790,730,760,Lowlands
247,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T-7,S/G,IVIC-792,Mixed,Human soft tissue/gastric content,950,70,-,Núñez 1976,,X,,,960,680,820,Lowlands
248,Tarapacá,P. Tamarugal,1180.0,Lowland,Pica 8,T30,-,IVIC-174,Vegetal,Maize ,220,80,-,Núñez 1976,,X,,,440,...,190,Lowlands
249,Tarapacá,Tarapacá,1310.0,Lowland,Pircas 1 ,R-198/U-1,F-2,Beta-294699,Vegetal,Wood ,1640,30,-,Uribe et al. 2012 ,X,,,,1560,1410,1480,Lowlands
250,Tarapacá,Tarapacá,1310.0,Lowland,Pircas 1 ,R-232/U-1,E-3,Beta-294700,Vegetal,Charcoal,2180,40,-,Uribe et al. 2012 ,X,,,,2310,2000,2110,Lowlands
251,Tarapacá,Tarapacá,1310.0,Lowland,Pircas 1 ,R-251/U-1,E-3B,Beta-294701,Vegetal,Wood ,1860,30,-,Uribe et al. 2012 ,X,,,,1830,1620,1750,Lowlands
252,Tarapacá,Tarapacá,1310.0,Lowland,Pircas 1 ,R-269/U-1,E-3B,Beta-294702,Vegetal,Wood ,1630,30,-,Uribe et al. 2012 ,X,,,,1560,1380,1480,Lowlands
253,Tarapacá,Tarapacá,1310.0,Lowland,Pircas 1 ,U-C1,E-III,Beta-5461 ,Coprolite,Coprolite/Prosopis,1450,90,-,Nunez 1984 ,X,,,,1530,1100,1310,Lowlands
254,Tarapacá,Tarapacá,1310.0,Lowland,Pircas 1 ,U-C1,E-IV,N-4368 ,Vegetal,Charcoal,1880,60,-,Nunez 1984 ,X,,,,1920,1610,1770,Lowlands
255,Tarapacá,Tarapacá,1330.0,Lowland,Pircas 2 ,T-6,-,OXA-1373 ,Coprolite,Coprolite,2460,60,-,Holden and Nunez 1993 ,,X,,,2710,2350,2490,Lowlands
256,Tarapacá,Tarapacá,1330.0,Lowland,Pircas 2 ,T-6,-,OXA-1372,Human,Human skin,2490,60,-,Hedges et al. 1989,,X,,,2720,2360,2530,Lowlands
257,Tarapacá,Tarapacá,1330.0,Lowland,Pircas 2 ,U-C30,T-1,I-13228 ,Human,Human soft tissue ,2420,80,-,Nunez 1984 ,,X,,,2720,2150,2450,Lowlands
258,Arica y Parinacota,Tana,,Coast,Pisagua,T-5,-,GX-21180,Human,Human soft tissue ,770,75,-9.54,Moragas 1995; Arriaza et al. 2008,,X,,,790,550,670,
259,Tarapacá,P. Tamarugal,850.0,Lowland,Pampa Ramadita 5 ,U-TP1,E-1A/F-1,UCIAMS-165640 ,Vegetal,Plant material ,10370,30,-,Santoro et al. 2019,X,,,,12440,11960,12130,Lowlands
260,Tarapacá,P. Tamarugal,850.0,Lowland,Pampa Ramadita 5 ,U-TP1,E-1B/F-3,UCIAMS-165642 ,Vegetal,Plant material ,10425,30,-,Santoro et al. 2019,X,,,,12480,12090,12280,Lowlands
261,Tarapacá,P. Tamarugal,850.0,Lowland,Pampa Ramadita 5 ,U-TP1,E-1A/F-1,UCIAMS-165641 ,Vegetal,Charcoal,14160,45,-,Santoro et al. 2019,X,,,,0,0,0,Lowlands
262,Tarapacá,P. Tamarugal,880.0,Lowland,Pampa Ramadita 7 ,U-TP1,E-1A/F-2 ,UCIAMS-165644 ,Vegetal,Plant material ,10010,80,-,Santoro et al. 2019,X,,,,11760,11230,11470,Lowlands
263,Tarapacá,P. Tamarugal,880.0,Lowland,Pampa Ramadita 7 ,U-TP1,E-1A/F-1,UCIAMS-165643 ,Vegetal,Plant material ,10105,30,-,Santoro et al. 2019,X,,,,11830,11320,11630,Lowlands
264,Tarapacá,Qda. Ancha,2780.0,Precordillera,Quebrada Ancha,R-13,E-2/N-A,Beta-314503,Vegetal,Charcoal,1370,30,-,Uribe et al. 2012 ,X,,,,1300,1180,1240,Precordillera
265,Tarapacá,Qda. Ancha,2780.0,Precordillera,Quebrada Ancha,R-30,E-2/N-B,Beta-314504,Vegetal,Charcoal,690,30,-,Uribe et al. 2012 ,X,,,,660,560,600,Precordillera
266,Tarapacá,Qda. Tasma,2460.0,Precordillera,Quebrada de Tasma,R-288,E-8,Beta-314506,Vegetal,Charcoal,1630,30,-,Urbina et al. 2016,X,,,,1560,1380,1480,Precordillera
267,Tarapacá,Qda. Tasma,2460.0,Precordillera,Quebrada de Tasma,R-349,E1/N-C,Beta-314507,Vegetal,Charcoal,1470,30,-,Uribe et al. 2012 ,X,,,,1370,1290,1330,Precordillera
268,Tarapacá,Qda. Tasma,2460.0,Precordillera,Quebrada de Tasma,R-48,E-3,Beta-314505,Vegetal,Charcoal,830,30,-,Uribe et al. 2012 ,X,,,,760,670,700,Precordillera
269,Tarapacá,Llamara,4500.0,Altiplano,Quebrada Blanca,E-3,-,Beta-139632,Vegetal,Charcoal,9610,70,-,Osorio et al. 2011,X,,,,11180,10690,10930,Altiplano
270,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani ,CF-T2-5,Sup.,UCIAMS-84356 ,Vegetal,Prosopis sp leaves ,975,15,-,Gayo et al. 2012b ,,,X,,910,790,860,Lowlands
271,Tarapacá,Llamara,1250.0,Lowland,Quebrada Mani 1,N0E0,2,UGAMS-4565,Vegetal,Prosopis fruit,1000,25,-,Santoro et al. 2011 ,,,,X,930,800,850,Lowlands
272,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12B,B/SC4,-,UCIAMS-84345,Vegetal,Charcoal,10155,25,-,Santoro et al. 2011; Latorre et al. 2013,X,,,,12900,12750,12800,Lowlands
273,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12B,B/SC4,2,UGAMS-7048,Vegetal,Charcoal,10390,30,-,Santoro et al. 2011 ,X,,,,5320,5050,5160,Lowlands
274,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-1,UCIAMS-89014,Vegetal,Fibrous plant material ,4580,20,-,Latorre et al. 2013 ,X,,,,11720,11320,11530,Lowlands
275,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-2,UCIAMS-89015 ,Vegetal,Plant material ,10080,25,-,Latorre et al. 2013 ,X,,,,11830,11340,11670,Lowlands
276,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-2,UCIAMS-89020 ,Vegetal,Plant material ,10120,25,-,Latorre et al. 2013 ,X,,,,11840,11340,11680,Lowlands
277,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-3,UGAMS-8241 ,Vegetal,Wood ,10130,30,-,Latorre et al. 2013 ,X,,,,11870,11540,11750,Lowlands
278,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-3,UCIAMS-89017 ,Vegetal,Plant material ,10160,25,-,Latorre et al. 2013 ,X,,,,11870,11540,11760,Lowlands
279,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-4,UCIAMS-89021 ,Vegetal,Fibrous plant material ,10165,25,-,Latorre et al. 2013 ,X,,,,11930,11720,11830,Lowlands
280,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-5,UGAMS-7050,Vegetal,Charcoal,10210,30,-,Santoro et al. 2011 ,X,,,,11940,11730,11850,Lowlands
281,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-3,UGAMS-8242 ,Vegetal,Wood ,10220,30,-,Latorre et al. 2013 ,X,,,,12430,11890,12040,Lowlands
282,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-3,UGAMS-8243 ,Vegetal,Wood ,10340,30,-,Latorre et al. 2013 ,X,,,,12440,11940,12090,Lowlands
283,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-3,UCIAMS-89022 ,Coprolite,Coprolite animal,10360,30,-,Latorre et al. 2013 ,X,,,,12610,12190,12550,Lowlands
284,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,E-2,UCIAMS-89458 ,Marine,Marine shell ,10655,25,-,Latorre et al. 2013 ,X,,,,12700,12510,12650,Lowlands
285,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-5,UCIAMS-84347,Vegetal,Charcoal,10365,25,-,Santoro et al. 2011 ,X,,,,12440,11960,12090,Lowlands
286,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-2,UCIAMS-89019 ,Vegetal,Plant material ,10505,25,-,Latorre et al. 2013 ,X,,,,12750,12710,12740,Lowlands
287,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-1,UGAMS-7049,Vegetal,Charcoal,10800,30,-,Santoro et al. 2011; Herrera 2019,X,,,,11840,11360,11740,Lowlands
288,Tarapacá,Llamara,1240.0,Lowland,Quebrada Mani 12C,C,N-4/F-13,UCIAMS-89018 ,Vegetal,Charcoal,10930,30,-,Latorre et al. 2013; Herrera 2019,X,,,,12460,11980,12200,Lowlands
289,Tarapacá,Llamara,1330.0,Lowland,Quebrada Mani 19,-,CF-T2.5 (dam) ,UCIAMS-97259,Vegetal,Charcoal,2290,12,-,Gayó et al. 2012,,,X,,2340,2150,2220,Lowlands
290,Tarapacá,Llamara,,Lowland,Quebrada Mani 27,-,CF-T2-7,UCIAMS-84737,Vegetal,Plants,1650,20,-,Gayó et al. 2012,,,X,,1560,1420,1490,
291,Tarapacá,Llamara,1295.0,Lowland,Quebrada Mani 2A,-,Crops in situ ,﻿CAMS-129007,Vegetal,Maize ,870,30,-,"Nester et al. 2007, in Gayó et al. 2012",,,X,,790,680,730,Lowlands
292,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-1B,UCIAMS-134397,Vegetal,Plant material ,10005,45,-,Santoro et al. 2019,X,,,,11630,11250,11440,Lowlands
293,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-2B/F-2,UCIAMS-134418 ,Vegetal,"Plant material, cordage (acid only) ",10040,35,-,Santoro et al. 2019,X,,,,12590,12020,12290,Lowlands
294,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S88W45,N-3,UCIAMS-134394 ,Vegetal,Plant material ,9290,510,-,Santoro et al. 2019,X,,,,12430,9280,10560,Lowlands
295,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-1,UCIAMS-134396 ,Vegetal,Plant material ,10085,35,-,Santoro et al. 2019,X,,,,11760,11320,11540,Lowlands
296,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-2B/F-2,UCIAMS-134417,Coprolite,Animal coprolite,10115,35,-,Santoro et al. 2019,X,,,,11930,11530,11780,Lowlands
297,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-2B/F-2,UCIAMS-134399 ,Vegetal,Plant material ,10180,40,-,Santoro et al. 2019,X,,,,11930,11650,11830,Lowlands
298,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-1,UCIAMS-134406 ,Vegetal,Charcoal,10195,35,-,Santoro et al. 2019,X,,,,11710,11270,11470,Lowlands
299,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-1,UCIAMS-134402 ,Vegetal,Charcoal,10205,35,-,Santoro et al. 2019,X,,,,11840,11330,11650,Lowlands
300,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-2B,UCIAMS-134398 ,Vegetal,Plant material ,10210,35,-,Santoro et al. 2019,X,,,,11930,11640,11800,Lowlands
301,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-2B,UCIAMS-134405 ,Vegetal,Charcoal,10210,45,-,Santoro et al. 2019,X,,,,11930,11650,11820,Lowlands
302,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-1B,UCIAMS-134404 ,Vegetal,Charcoal,10215,45,-,Santoro et al. 2019,X,,,,11970,11640,11820,Lowlands
303,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-1,UCIAMS-134403 ,Vegetal,Charcoal,10220,40,-,Santoro et al. 2019,X,,,,11970,11640,11830,Lowlands
304,Tarapacá,Llamara,850.0,Lowland,Quebrada Mani 32,S1E8,N-4,UCIAMS-134395 ,Vegetal,Plant material ,10445,45,-,Santoro et al. 2019,X,,,,11960,11650,11840,Lowlands
305,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 35,A,CF-T2-5 ,UCIAMS-84739 ,Vegetal,Plant material ,980,20,-,Gayo et al. 2012b ,,,X,,11280,11100,11210,Lowlands
306,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 35,C,CF-T2-5 ,UCIAMS-84341 ,Vegetal,Plant material ,990,15,-,Gayo et al. 2012b ,,,X,,11320,11190,11240,Lowlands
307,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-2,D-AMS 028068 ,Animal,Bone,9828,49,-,Herrera et al. 2019,X,,,,11630,11250,11440,Lowlands
308,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-4,D-AMS 028064 ,Animal,Bone,9886,41,-,Herrera et al. 2019,X,,,,920,790,860,Lowlands
309,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-6,D-AMS 028067 ,Animal,Bone,10002,45,-,Herrera et al. 2019,X,,,,920,800,850,Lowlands
310,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-3,D-AMS 028065 ,Animal,Bone,10044,39,-,Herrera et al. 2019,X,,,,11710,11280,11480,Lowlands
311,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-7,D-AMS 028069 ,Animal,Bone,10089,37,-,Herrera et al. 2019,X,,,,11760,11320,11540,Lowlands
312,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-5,D-AMS 028066 ,Animal,Bone,10160,40,-,Herrera et al. 2019,X,,,,11920,11350,11740,Lowlands
313,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,-,N-8,D-AMS 028070 ,Animal,Bone,10189,40,-,Herrera et al. 2019,X,,,,11930,11540,11790,Lowlands
314,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,Surface ,-,D-AMS 028063 ,Animal,Terrestian mollusk,13974,46,-,Herrera et al. 2019,X,,,,0,0,0,Lowlands
315,Tarapacá,Llamara,830.0,Lowland,Quebrada Mani 35,Surface ,-,D-AMS 028062 ,Animal,Terrestian mollusk,14052,51,-,Herrera et al. 2019,X,,,,0,0,0,Lowlands
316,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 37,CF-T2-5 ,Channel,UCIAMS-84343 ,Vegetal,Plant material ,1525,15,-,Gayo et al. 2012b ,,,X,,1410,1310,1360,Lowlands
317,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 37A,CF-T2-5 ,Channel,UCIAMS-84342 ,Vegetal,Plant material ,1535,15,-,Gayo et al. 2012b ,,,X,,1410,1320,1370,Lowlands
318,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 38,CF-T2-7,Channel,UCIAMS-84742 ,Vegetal,Prosopis sp leaves ,2310,20,-,Gayo et al. 2012b ,,,X,,2350,2150,2220,Lowlands
319,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 39,CF-T2-5 ,Channel,UCIAMS-84344 ,Vegetal,Charcoal,2240,15,-,Gayo et al. 2012b ,,,X,,2320,2130,2250,Lowlands
320,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 4,R-2 ,Sup. (M-3) ,UCIAMS-97258 ,Vegetal,Charcoal,1575,15,-,"Santoro et al. 2011 ms., in Gayó et al. 2015 ",X,,,,1510,1360,1400,Lowlands
321,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 4,R-2 ,Sup. (M-1) ,UCIAMS-97256 ,Vegetal,Charcoal,1750,15,-,"Santoro et al. 2011 ms., in Gayó et al. 2015 ",X,,,,1700,1540,1610,Lowlands
322,Tarapacá,Llamara,1200.0,Lowland,Quebrada Mani 4,R-2 ,E-1 (below surface) ,UCIAMS-97257 ,Vegetal,Charcoal,1765,15,-,"Santoro et al. 2011 ms., in Gayó et al. 2015 ",X,,,,1700,1580,1660,Lowlands
323,Tarapacá,Llamara,,Lowland,Quebrada Mani 40,CF-T2-5 ,-,UCIAMS-84355 ,Vegetal,Plant material ,1205,15,-,Gayo et al. 2012b ,,,X,,1180,980,1060,
324,Tarapacá,C. de la Costa,750.0,Lowland,Soronal 3,E-XIII,-,Beta-150711 ,Vegetal,Charcoal,1450,40,-,Briones et al. 2005 ,X,,,,1370,1180,1310,Lowlands
325,Tarapacá,Tarapacá,1180.0,Lowland,Tarapaca 10 ,-,-,WSU-950 ,Vegetal,Wood-twigs,1590,140,-,Tartaglia 1980 ,X,,,,1810,1180,1460,Lowlands
326,Tarapacá,Tarapacá,1180.0,Lowland,Tarapaca 10 ,-,-,WSU-906 ,Coprolite,Coprolite,2600,220,-,True et al. 1971 ,X,,,,3210,2100,2630,Lowlands
327,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 12,-,-,GaK-5867 ,Vegetal,Charcoal,4480,170,-,Tartaglia 1980 ,X,,,,5580,4620,5090,Lowlands
328,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 12,Refuse,-,UCLA-1293,Vegetal,Charcoal,4690,80,-,Núñez 1976; True et al. 1970,X,,,,5590,5050,5390,Lowlands
329,Tarapacá,Tarapacá,1370.0,Lowland,Tarapaca 13A ,-,-,GaK-3896 ,Vegetal,Plant material ,220,80,-,Tartaglia 1980 ,X,,,,440,...,190,Lowlands
330,Tarapacá,Tarapacá,1370.0,Lowland,Tarapaca 13A ,U-Wall,-,GaK-3016 ,Vegetal,Seeds,1200,110,-,Tartaglia 1980 ,X,,,,1290,810,1070,Lowlands
331,Tarapacá,Tarapacá,1390.0,Lowland,Tarapaca 14A ,-,-,GaK-2529 ,Vegetal,Charcoal,4780,130,-,Nunez 1976 ,X,,,,5840,5050,5460,Lowlands
332,Tarapacá,Tarapacá,1390.0,Lowland,Tarapaca 14A ,-,-,Gak-4479 ,-,-,5930,220,-,True 1975 ,X,,,,7260,6290,6740,Lowlands
333,Tarapacá,Tarapacá,1390.0,Lowland,Tarapaca 14A ,-,-,GAK-2432,Vegetal,Charcoal,6830,270,-,True et al. 1971 ,X,,,,8280,7160,7670,Lowlands
334,Tarapacá,Tarapacá,1390.0,Lowland,Tarapaca 14A ,U-H5,-,WSU-987,Vegetal,Charcoal,6430,430,-,Núñez 1976; Tartaglia 1980,X,,,,8160,6320,7250,Lowlands
335,Tarapacá,Tarapacá,1340.0,Lowland,Tarapacá 18A,-,-,GAK-2433,Vegetal,Charcoal,3910,170,-,Núñez 1976,X,,,,4820,3850,4300,Lowlands
336,Tarapacá,Tarapacá,1270.0,Lowland,Tarapacá 2A,-,-,UCLA-1834-A ,Vegetal,Wool/plant remain ,4200,200,-,True 1975 ,X,,,,5300,4150,4690,Lowlands
337,Tarapacá,Tarapacá,1270.0,Lowland,Tarapacá 2A,-,-,GaK-3895 ,Vegetal,Charcoal,5250,340,-,Tartaglia 1980 ,X,,,,6840,5070,5990,Lowlands
338,Tarapacá,Tarapacá,1270.0,Lowland,Tarapacá 2A,-,-,GAK-2205,Vegetal,Charcoal,5970,120,-,True et al. 1971 ,X,,,,7160,6450,6770,Lowlands
339,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,-,-,GaK-3821 ,Human,Human hair,850,80,-,Tartaglia 1980 ,,X,,,910,570,730,Lowlands
340,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40A ,-,-,Gak-2296 ,Vegetal,Prosopis fruit,1160,90,-,Rivera 1977-1978 ,,X,,,1270,810,1030,Lowlands
341,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-1 ,S/Y,Beta-355779,Human,Human Tooth and bone (collagen),1580,30,-,Uribe et al. 2015,,X,,,1520,1360,1420,Lowlands
342,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-21,S/M',UGAMS-31950,Vegetal,Basketry ,2210,20,-,Uribe et al. 2020,,X,,,2310,2090,2180,Lowlands
343,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40A ,T-29,S/M',GAK-2893,Human,Human hair,1590,170,-,Núñez 1970,,X,,,1870,1080,1470,Lowlands
344,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40B,T-3,-,Beta-63793,Animal,AR-tunic yarn,1370,60,-,Oakland 2000,,X,,,1350,1080,1230,Lowlands
345,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-31 ,S/M',Beta-355778,Human,Human bone colagen,2540,30,-,Uribe et al. 2015,,X,,,2740,2430,2580,Lowlands
346,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-37,S/M',UGAMS-31951,Animal,Textile,2450,20,-,Uribe et al. 2020,,X,,,2700,2350,2440,Lowlands
347,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40B,T-4,S/K,Beta-63794,Animal,Mantle yarn,1580,70,-,Oakland 2000,,X,,,1570,1310,1430,Lowlands
348,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40B,T-4,-,CAMS-10323,Animal,Skirt Yarn,2000,60,-,Oakland 2000,,X,,,2050,1750,1910,Lowlands
349,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-6,S/Y,Beta-355777,Human,Human,1610,30,-,Uribe et al. 2015,,X,,,1530,1380,1460,Lowlands
350,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40A ,T-62,S/M',GAK-2206,Vegetal,Prosopis fruit,1660,90,-,Núñez 1970,,X,,,1710,1320,1510,Lowlands
351,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-76 ,S/M',Beta-355776,Human,Human Tooth and bone (collagen),2840,30,-,Uribe et al. 2015,,X,,,3000,2780,2910,Lowlands
352,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-9,S/M',Beta-370288,Human,Human tooth (dentine-collagen),2470,30,-,Uribe et al. 2015,,X,,,2700,2350,2480,Lowlands
353,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40A ,T-90,-,CAMS-10324,Animal,Skirt Yarn,2810,60,-,Oakland 2000,,X,,,3060,2760,2880,Lowlands
354,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40 ,T-99 ,S/M',Beta-370287,Human,Human bone colagen,2750,30,-,Uribe et al. 2015,,X,,,2910,2750,2810,Lowlands
355,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40B,T3,S/S,CAMS-7607,Animal,Tiw-tunic yarn,1690,60,-,Oakland 2000,,X,,,1700,1410,1550,Lowlands
356,Tarapacá,Tarapacá,1290.0,Lowland,Tarapacá 40B,T5,S/S,CAMS-7608,Animal,Tiw-tunic yarn,1630,70,-,Oakland 2000,,X,,,1690,1320,1480,Lowlands
357,Tarapacá,Tarapacá,1450.0,Lowland,TR4000,L1-SC01,Sup.,UCIAMS-58817,Vegetal,Charcoal,365,15,-,Zori 2011,,,,X,450,320,390,Lowlands
358,Tarapacá,Tarapacá,1450.0,Lowland,TR4000,L3-CS01,Sup.,UCIAMS-58818,Vegetal,Charcoal,495,15,-,Zori 2011,,,,X,520,490,510,Lowlands
359,Tarapacá,Tarapacá,1500.0,Lowland,TR4005,L1-SC01,-,AA-82249,Vegetal,Charcoal,465,37,-,Zori 2011,,,,X,530,330,490,Lowlands
360,Tarapacá,Tarapacá,1600.0,Lowland,TR4007,L4-SC01,-,UCIAMS-58819,Vegetal,Charcoal,920,20,-,Zori 2011,,,,X,900,730,770,Lowlands
361,Tarapacá,Tarapacá,1600.0,Lowland,TR4007,L5-B01,-,UCIAMS-58820,Vegetal,Corn cob,630,15,-,Zori 2011,,,,X,630,550,610,Lowlands
362,Tarapacá,Tarapacá,1480.0,Lowland,TR4010,L1-SC01,-,AA-82252,Vegetal,Charcoal,420,37,-,Zori 2011,,,,X,500,320,450,Lowlands
