record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
129,Tarapacá,Arheic coast,15.0,Coast,Chomache 1,R-1/U-B2-B3,E-5 (63 cm),Beta-256618,Vegetal,Charcoal,1320,40,-,Uribe et al. 2012 ,X,,,,1280,1080,1210,Coast
130,Tarapacá,Arheic coast,15.0,Coast,Chomache 1,U-B2/E-1 ,N-50-60,Beta-256619,Vegetal,Plant material ,750,40,-,Uribe et al. 2012 ,X,,,,720,560,650,Coast
131,Tarapacá,Tarapacá,3280.0,Precordillera,Chusmiza 1,R-89,F-1,Beta-220920,Vegetal,Charcoal,570,50,-,Uribe et al. 2007 ,X,,,,630,500,540,Precordillera
132,Tarapacá,C. de la Costa,920.0,Lowland,Cerro Mono 1,T-1 ,-,Beta-50707 ,Human,Human soft tissue ,3110,40,-,Briones et al. 2005 ,,X,,,3380,3160,3280,Lowlands
133,Tarapacá,P. Tamarugal,990.0,Lowland,Cerros Pintados 2 ,E-2,-,SI-6866 ,Vegetal,Charcoal,6125,95,-,Briones et al. 2005 ,X,,,,7250,6680,6960,Lowlands
134,Tarapacá,P. Tamarugal,990.0,Lowland,Cerros Pintados 2 ,E-2,-,Beta-9204 ,Vegetal,Charcoal,8840,90,-,Briones et al. 2005 ,X,,,,10160,9560,9860,Lowlands
135,Tarapacá,P. Tamarugal,990.0,Lowland,Cerros Pintados 2 ,E-2,-,Beta-150709 ,Vegetal,Charcoal,9066,80,-,Briones et al. 2005 ,X,,,,10480,9900,10190,Lowlands
136,Tarapacá,P. Tamarugal,990.0,Lowland,Cerros Pintados 3,-,-,Beta-150710 ,Vegetal,Maize ,970,50,-,Briones et al. 2005 ,X,,,,930,740,840,Lowlands
137,Tarapacá,Arheic coast,10.0,Coast,Caramucho 3,E-VI,-,Gak-8374 ,Vegetal,Charred material /Charcoal,5980,120,-,Sanhueza 1985,X,,,,7160,6550,6830,Coast
138,Tarapacá,Arheic coast,10.0,Coast,Caramucho 3,E-VI,-,GaK-8375 ,Mixed,Marine shell,5220,130,-,Sanhueza 1985,X,,,,6280,5610,5950,Coast
139,Tarapacá,Llamara,1375.0,Lowland,Guatacondo Cementerio,-,-,UGAMS-20230,Human,Human bone colagen,2780,20,-,Uribe et al. 2020,,X,,,2930,2760,2830,Lowlands
142,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-12,-,IVIC-168,Vegetal,Charcoal,775,160,-,Mostny 1965,X,,,,1040,470,690,Lowlands
143,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-12,Pit F,IVIC-167,Vegetal,Maize ,1175,90,-,Mostny 1965,X,,,,1270,820,1050,Lowlands
148,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-22,-,UCLA-1698-E ,Vegetal,Charcoal,1830,60,-,Tartaglia 1980 ,X,,,,1870,1570,1710,Lowlands
149,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-22,-,UCLA-1698-C,Vegetal,Maize cob,1865,-,-,Tartaglia 1980 ,X,,,,1810,1710,1740,Lowlands
144,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-12,Central pole ,IVIC-166,Vegetal,Wood (Geofrea decorticans),1890,90,-,Mostny 1965,X,,,,2000,1580,1780,Lowlands
150,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-22,-,UCLA-1698-D,Coprolite,Human Coprolite,1900,110,-,Rivera 1994,X,,,,2050,1540,1790,Lowlands
140,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,M-381,CF,D-AMS 009019,Vegetal,Leaf,1969,24,-,"Uribe C.P., in Segura et al. 2021",,,X,,1990,1760,1870,Lowlands
153,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-3,E-4,Beta-314502,Vegetal,Charcoal,2000,30,-,Uribe and Vidal 2012 ,X,,,,2000,1830,1910,Lowlands
145,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-153,E-7,Beta-314500,Vegetal,Seeds,2010,30,-,Uribe and Vidal 2012 ,X,,,,2000,1840,1920,Lowlands
147,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-164,E-4,Beta-294698,Vegetal,Charcoal,2030,40,-,Uribe and Vidal 2012 ,X,,,,2040,1830,1950,Lowlands
154,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-3,E-5,Beta-314501,Vegetal,Seeds,2050,30,-,Uribe and Vidal 2012 ,X,,,,2040,1890,1960,Lowlands
146,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-153,E-7,Beta-294697,Vegetal,Charcoal,2080,50,-,Uribe and Vidal 2012 ,X,,,,2120,1880,2000,Lowlands
155,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-99,F1,Beta-294696,Vegetal,Charcoal,2090,40,-,Uribe and Vidal 2012 ,X,,,,2110,1890,2010,Lowlands
141,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,M-382,CF,D-AMS 009020,Vegetal,Leaf,2151,22,-,"Uribe C.P., in Segura et al. 2021",,,X,,2290,2010,2080,Lowlands
151,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-22,-,UCLA-1698-B,Vegetal,Cane & reed ,2370,60,-,Rivera 1994; Tartaglia 1980 ,X,,,,2700,2140,2340,Lowlands
152,Tarapacá,Llamara,1370.0,Lowland,Guatacondo 1 ,R-22,-,UCLA-1698-A,Vegetal,Basketry ,2830,50,-,Rivera 1994; Tartaglia 1980 ,X,,,,3060,2770,2900,Lowlands
156,Tarapacá,Llamara,1240.0,Lowland,Guatacondo 4,2-6,Pole ,UGAMS-20233,Vegetal,Wood ,2430,20,-,Uribe et al. 2020,X,,,,2700,2350,2470,Lowlands
