site_name,lat,lon,altitude_masl,locality,admin_region,ecozone,period,period_from,period_to
Playa Miller 7 (El Laucho),-18.491944,-70.324746,48.0,Arica Coast,Arica y Parinacota,Coast,Middle Horizon (Northern Chile),,500.0
Playa Miller 7 (PLM-7),-18.491944,-70.324746,48.0,Arica Coast,Arica y Parinacota,Coast,Middle Formative Period (Northern Chile),-745.0,-397.0
Playa Miller 8,-18.495148,-70.324746,18.0,Arica Coast,Arica y Parinacota,Coast,Late Archaic (Northern Chile),-3000.0,-1500.0
Punta Blanca,-22.174722,-70.225,16.0,"Punta Blanca, Tocopilla coast",Antofagasta,Coast,Early Formative (Northern Chile),-1500.0,-1000.0
Punta Cañas Norte,-24.7265,-70.57,69.0,Taltal area,Antofagasta,Coast,Formative Period (Northern Chile),-2050.0,450.0
Punta Tames,-22.6561,-70.2889,88.0,"Punta Tames, Mejillones, Coast of",Antofagasta,Coast,Formative Period (Northern Chile),-1500.0,400.0
Puripica 1,-22.836064,-68.199782,3137.0,"Interior Desert, North of Salar de Atacama",Antofagasta,Precordillera,Late Archaic (Northern Chile),-3000.0,-1500.0
Puripica 3,-22.836064,-68.199782,3137.0,"Interior Desert, North of Salar de Atacama",Antofagasta,Precordillera,Middle Archaic (Northern Chile),-5000.0,-3000.0
Putre,-18.196805,-69.559652,3557.0,"Upper Lluta Valley, Putre",Arica y Parinacota,Precordillera,Modern,,
Quebrada Rincon,-24.8831,-70.5175,102.0,Taltal area,Antofagasta,Coast,Formative Period (Northern Chile),-2050.0,450.0
Quiani 7,-18.528665,-70.321788,45.0,Arica Coast,Arica y Parinacota,Coast,Early Formative Period (Northern Chile),-1700.0,-500.0
Quiani 7 (Faldas del Morro),-18.528665,-70.321788,45.0,Arica Coast,Arica y Parinacota,Coast,Late Archaic Period (Northern Chile),-1700.0,-1600.0
Quillagua,-21.660287,-69.53489,810.0,"Quillagua Oases, Loa basin",Antofagasta,Lowlands,Formative Period (Northern Chile),-1500.0,400.0
Quillagua La Capilla,-21.660287,-69.53489,810.0,"Quillagua Oases, Loa basin",Antofagasta,Lowlands,Late Intermediate Period (Northern Chile),1100.0,1450.0
Quitor 1,-22.902611,-68.208056,2458.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),1000.0,1450.0
Quitor 5,-22.898056,-68.205556,2462.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Early Middle Horizon (Northern Chile),100.0,750.0
Quitor 6,-22.903611,-68.207222,2451.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),900.0,1485.0
Quitor 6 Tardío,-22.905268,-68.207185,2451.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),1000.0,1450.0
Quitor 8,-22.908383,-68.205559,2443.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Middle Horizon (Northern Chile),500.0,1000.0
Quitor 9,-22.908383,-68.205559,2443.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),1000.0,1450.0
RAnL,-22.3346,-68.6509,2545.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-1500.0,400.0
Salar Punta Negra,-24.585825,-68.96776,2955.0,"Interior Desert, Salar Punta Negra",Antofagasta,Precordillera,Early Archaic (Northern Chile),-10650.0,-8450.0
San Lorenzo 1,-25.1135,-70.4797,17.0,Taltal area,Antofagasta,Coast,Late Archaic (Northern Chile),-5500.0,-2000.0
San Lorenzo 3,-25.1135,-70.4797,17.0,Taltal area,Antofagasta,Coast,Formative Period (Northern Chile),-2050.0,450.0
San Lorenzo de Tarapacá,-19.9235,-69.5094,1414.0,Tarapacá,Tarapacá,Lowlands,Late Intermediate Period (Northern Chile),900.0,1450.0
San Pedro de Atacama (Quitor 6),-22.905268,-68.207185,2451.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Middle Horizon (Northern Chile),900.0,1100.0
San Salvador Cemetery,-22.4535,-69.3202,1374.0,"San Salvador Valley, Loa Basin, Calama",Antofagasta,Lowlands,Middle Formative Period (Northern Chile),-170.0,130.0
Solcor 3,-22.915,-68.19833,2438.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Middle Horizon (Northern Chile),400.0,1000.0
Solcor Plaza,-22.922476,-68.200741,2440.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Middle Horizon (Northern Chile),400.0,1000.0
Solor 3,-22.936111,-68.19694,2404.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Early Middle Horizon (Northern Chile),100.0,750.0
