site_name,lat,lon,altitude_masl,locality,admin_region,ecozone,period,period_from,period_to
Camarones PN,-19.183056,-70.273056,20.0,Lower Camarones Valley,Arica y Parinacota,Coast,Middle Archaic (Northern Chile),-5000.0,-3000.0
Camarones-15,-19.196289,-70.265153,94.0,Lower Camarones Valley,Arica y Parinacota,Coast,Early Formative (Northern Chile),-1700.0,-500.0
Casa Parroquial,-22.911,-68.2005,2446.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Middle Horizon (Northern Chile),400.0,1000.0
Caserones 1,-19.980166,-69.562511,1282.0,Middle Tarapacá Valley,Tarapacá,Lowlands,Formative Period (Northern Chile),-1500.0,400.0
Caspana,-22.334654,-68.212473,3250.0,"Caspana River, upper Loa basin, Calama",Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),1100.0,1450.0
Catarpe 1,-22.886303,-68.220634,2471.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Late Intermediate Period (Northern Chile),900.0,1485.0
Cementerio Oriente de Quillagua,-21.660287,-69.53489,810.0,"Quillagua Oases, Loa basin",Antofagasta,Lowlands,Late Intermediate Period (Northern Chile),950.0,1150.0
Cerro Colorado 7,-20.2862,-69.1976,2632.0,"Precordillera de Tarapacá, sector of Cerro Colorado",Tarapacá,Precordillera,Colonial,1460.0,1630.0
Chinchorro 1,-18.4616376,-70.296254,30.0,"Chinchorro beach, Arica",Arica y Parinacota,Coast,Archaic (Northern Chile),-8000.0,-1500.0
Chiu-Chiu,-22.335327,-68.648624,2539.0,"Upper Loa Valley, Chiuchiu",Antofagasta,Precordillera,Late Formative (Northern Chile),100.0,400.0
Chorillos,-22.4532,-68.9124,2296.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-820.0,-770.0
Chorrillos,-22.4532,-68.9124,2296.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-820.0,-770.0
Chorrilos,-22.4532,-68.9124,2296.0,"Upper Loa basin, Calama",Antofagasta,Precordillera,Formative Period (Northern Chile),-820.0,-770.0
Colchane,-19.275732,-68.638751,3723.0,Upper Sitani Valley,Tarapacá,Altiplano,Modern,,
Colon 10,-18.4807,-70.3215,54.0,Arica Coast,Arica y Parinacota,Coast,Late Archaic (Northern Chile),-3000.0,-1500.0
Conanoxa,-19.046448,-69.975532,830.0,Interior Desert,Arica y Parinacota,Lowlands,Modern,,
Copaca 1,-22.347557,-70.248126,22.0,30 km south of Tocopilla,Antofagasta,Coast,Late Archaic (Northern Chile),-5500.0,-2000.0
Coyo 3,-22.949,-68.2349,2405.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Middle Horizon (Northern Chile),400.0,1000.0
Coyo Oriental,-22.947732,-68.232554,2404.0,San Pedro de Atacama Oasis,Antofagasta,Precordillera,Late Middle Horizon (Northern Chile),400.0,1000.0
Cáñamo 3,-20.7728,-70.1864,59.0,"Iquique coast, between Iquique and Loa River",Tarapacá,Coast,Formative Period (Northern Chile),-1000.0,500.0
Depresión Intermedia,-21.942071,-69.678692,1186.0,Intermedite area between the coast and the Loa Valley,Antofagasta,Lowlands,Late Formative Period (Northern Chile),73.0,330.0
El Toco,-22.068081,-69.60071,1094.0,"Middle Loa Valley, Toco",Antofagasta,Lowlands,Late Formative (Northern Chile),100.0,400.0
El Vertedero,-23.473323,-70.389404,362.0,"La Chimba, Jorge Bay",Antofagasta,Lowlands,,,
Enaex,-23.095388,-70.433325,6.0,"Mejillones Bay, Mejillones Port",Antofagasta,Coast,Middle Formative/Middle Horizon (Northern Chile),-750.0,1100.0
Gualaguala 01,-22.801,-70.313333,8.0,Tocopilla coast,Antofagasta,Coast,Formative Period (Northern Chile),-1500.0,400.0
Gualaguala 04,-22.801,-70.313333,8.0,Tocopilla coast,Antofagasta,Coast,Formative Period (Northern Chile),-1500.0,400.0
Guatacondo 1,-20.994174,-69.298498,1355.0,"Guatacondo gorge, south margin",Tarapacá,Lowlands,Formative Period (Northern Chile),-1500.0,400.0
Hakenasa,-17.875064,-69.311093,4475.0,"Upper Lluta Valley, Putre",Arica y Parinacota,Altiplano,Late Archaic (Northern Chile),-3000.0,-1500.0
Huancarane 1,-18.97,-69.7,1173.0,"Camarones Valley, 60 km from the coast",Arica y Parinacota,Lowlands,Late Intermedaite Period (Northern Chile),1000.0,1450.0
