site_name,period_broad,period,lab_id,period_from,period_to,sample_id,lat,lon,altitude_masl,c14_method,c14_lab_code,c14_bp,c14_error,c14_cal_from,c14_cal_to,material_dated,sex,age_category,age_min,age_max,sample_type,tissue,element,tissue_age,tissue_age_min,tissue_age_max,yield_pct,wt_C,wt_N,CN_ratio,d13C,d15N,wt_S,d34S,tissue_carbonate,element_carbonate,tissue_age_carbonate,tissue_age_carbonate_min,tissue_age_carbonate_max,d13C_carbonate,d18O_carbonate,Sr87_Sr86,reference_short,doi,locality,admin_region,ecozone
Azapa 14,Formative,Early Formative,AZ14 T69,-1500.0,-500,AZ14 T69,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand RM2,Infant-2/Child-1,2.5,8.0,,,0.707838,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T76B,-1500.0,-500,AZ14 T76B,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max RM2,Infant-2/Child-1,2.5,8.0,,,0.707222,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T113,-1500.0,-500,AZ14 T113,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,LM3,,,,,,0.707893,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T3B,-1500.0,-500,AZ14 T3B,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM3,Child-2/Adolescent-1,8.5,14.0,,,0.706752,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T8,-1500.0,-500,AZ14 T8,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand RM2,Infant-2/Child-1,2.5,8.0,,,0.707478,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T10A,-1500.0,-500,AZ14 T10A,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM2,Infant-2/Child-1,2.5,8.0,,,0.707976,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T14,-1500.0,-500,AZ14 T14,-18.520743,-70.219859,234,,,,,,,,F,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM2,Infant-2/Child-1,2.5,8.0,,,0.707584,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T16,-1500.0,-500,AZ14 T16,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Bone,,,,,,,,,,,,,,Bone apatite,,,,,,,0.707725,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T64C,-1500.0,-500,AZ14 T64C,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand Pm2,Infant-2/Child-1,3.5,6.5,,,0.707355,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 T84A,-1500.0,-500,AZ14 T84A,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LC,Infant-1/Infant-2,0.7,5.0,,,0.706693,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 S/R1,-1500.0,-500,AZ14 S/R1,-18.520743,-70.219859,234,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,,,,,,,0.707533,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 14,Formative,Early Formative,AZ14 Desc2,-1500.0,-500,AZ14 Desc2,-18.520743,-70.219859,234,,,,,,,,F,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand RM2,Infant-2/Child-1,2.5,8.0,,,0.707359,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 146,Formative,Early Formative,AZ146 C1,-1500.0,-500,AZ146 C1,-18.545036,-70.149496,356,,,,,,,,M,Adult,,,Bone,,,,,,,,,,,,,,Bone apatite,,,,,,,0.707517,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 146,Formative,Early Formative,AZ146 C2,-1500.0,-500,AZ146 C2,-18.545036,-70.149496,356,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM1,Infant-1/Infant-2,0.4,3.5,,,0.707638,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 146,Formative,Early Formative,AZ146 C3,-1500.0,-500,AZ146 C3,-18.545036,-70.149496,356,,,,,,,,M,Adult,,,Bone,,,,,,,,,,,,,,Bone apatite,,,,,,,0.707626,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 POZO E5,-1500.0,-500,AZ70 POZO E5,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM3,Child-2/Adolescent-1,8.5,14.0,,,0.706709,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,"AZ70 Tumulo 1
 CR2",-1500.0,-500,"AZ70 Tumulo 1
 CR2",-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM3,Child-2/Adolescent-1,8.5,14.0,,,0.707601,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,"AZ70 Tumulo 1
 CR3",-1500.0,-500,"AZ70 Tumulo 1
 CR3",-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,,,,,,,0.707204,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,"AZ70 Tumulo 2
 CR1",-1500.0,-500,"AZ70 Tumulo 2
 CR1",-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max LM2,Infant-2/Child-1,2.5,8.0,,,0.70786,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo 2 CR5,-1500.0,-500,AZ70 Tumulo 2 CR5,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand RM3,Child-2/Adolescent-1,8.5,14.0,,,0.708047,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo 3T1,-1500.0,-500,AZ70 Tumulo 3T1,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM2,Infant-2/Child-1,2.5,8.0,,,0.707118,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo1-435,-1500.0,-500,AZ70 Tumulo1-435,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM3,Child-2/Adolescent-1,8.5,14.0,,,0.707811,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo2-CR3,-1500.0,-500,AZ70 Tumulo2-CR3,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Bone,,,,,,,,,,,,,,Bone apatite,,,,,,,0.707404,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo2-CR7,-1500.0,-500,AZ70 Tumulo2-CR7,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Max RM2,Infant-2/Child-1,2.5,8.0,,,0.70711,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo4-T15,-1500.0,-500,AZ70 Tumulo4-T15,-18.517798,-70.174663,281,,,,,,,,F,Adult,,,Bone,,,,,,,,,,,,,,Bone apatite,,,,,,,0.707929,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo4-T20,-1500.0,-500,AZ70 Tumulo4-T20,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand RM3,Child-2/Adolescent-1,8.5,14.0,,,0.70688,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 70,Formative,Early Formative,AZ70 Tumulo Ent.1,-1500.0,-500,AZ70 Tumulo Ent.1,-18.517798,-70.174663,281,,,,,,,,M,Adult,,,Bone,,,,,,,,,,,,,,Bone apatite,,,,,,,0.707211,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
Azapa 71,Formative,Early Formative,AZ71 T288,-1500.0,-500,AZ71 T288,-18.518711,-70.172905,296,,,,,,,,F,Adult,,,Tooth,,,,,,,,,,,,,,Enamel,Mand LM2,Infant-2/Child-1,2.5,8.0,,,0.707659,Standen et al. (2021),https://doi.org/10.1016/j.jaa.2021.101324,"San Miguel de Azapa, Lower Azapa Valley",Arica y Parinacota,Lowlands
